id,category_id,technical_requirements,soft_skills,domain_knowledge,education_requirement,experience_level,project_experience
805,6,"python, docker, infrastructure, shell script, cloud infrastructure, kubernetes, site reliability, aws, devops, new, git, ansible, high, gitlab, build, cloud, version control, release, monitoring, terraform","decision, reliability",,None,None,"docker, monitoring, integration, infrastructure"
806,6,"python, site, automation, build, system, git, infrastructure","project, time, collaborative, critical, system, problem solving, documentation, analytical, communication",versioning,Bachelor,None,"infrastructure, automation"
813,6,"log, docker, infrastructure, high availability, kubernetes, system, devops, deployment, bash, new, automation, grafana, jenkins, gitlab, access management, build, version control, monitoring, containers, prometheus, scalability","reliability, system, critical, technical, troubleshooting, documentation",,None,Senior,"automation, orchestration, deploy, monitoring, deployment, integration, docker, infrastructure"
814,6,"python, security, infrastructure as code, github, docker, system, kubernetes, aws, continuous, devops, deployment, azure, git, grafana, compliance, circleci, ansible, build, cloud, network, datadog, pipeline, monitoring, fault, prometheus, terraform","communication skills, continuous, system",,None,None,"orchestration, pipeline, deployment, monitoring, docker, infrastructure"
816,6,"security, new relic, iac, docker, infrastructure, elk, system, kubernetes, site reliability, deployment, logging, devops, new, automation, grafana, jenkins, build, pipeline, prometheus","communication skills, reliability, project, system, proactive, initiative, problem solving, responsibility, troubleshooting, documentation",,None,Senior,"automation, deploy, pipeline, deployment, integration, docker, infrastructure"
819,6,"python, continuous deployment, security, performance, configuration, infrastructure as code, iac, docker, infrastructure, high availability, powershell, system, kubernetes, rollback, continuous, devops, bash, azure, git, compliance, ansible, jenkins, cloud, network, release, monitoring, continuous integration, terraform","task, continuous, system, reliability",,None,None,"monitoring, deployment, integration, docker, infrastructure"
822,6,"incident response, python, security, performance, infrastructure as code, iac, infrastructure, kubernetes, virtual, site reliability, aws, continuous, devops, bash, azure, new, compliance, ansible, cloud, terraform","incident response, postmortem, reliability, continuous, documentation, communication",,None,Senior,"orchestration, infrastructure"
825,6,"performance, configuration management, docker, infrastructure, high availability, elk, kubernetes, system, microservices, continuous, devops, logging, azure, new, git, elk stack, automation, grafana, ansible, jenkins, build, cloud, version control, monitoring, continuous integration, prometheus, terraform","continuous, system",devops culture,None,None,"automation, orchestration, monitoring, integration, infrastructure automation, docker, infrastructure"
826,6,"python, server, shell, security, performance, configuration, infrastructure as code, iac, github, docker, infrastructure, monitor, system, kubernetes, aws, continuous, devops, logging, bash, azure, new, git, automation, bitbucket, jenkins, gitlab, cloud, version control, build, release, pipeline, monitoring, scalability","communication skills, reliability, system, customer, problem solving, troubleshooting, technical, continuous, analytical","root cause analysis, infrastructure provisioning",None,None,"monitor, automation, pipeline, monitoring, docker, infrastructure"
827,6,"python, new, automation, performance, scalability","reliability, time, technical, troubleshooting, learning, analytical, communication",,None,None,automation
828,6,"python, compliance, cloud, google, security, build, aws, monitoring, deployment, azure, google cloud","technical, learning, customer",,None,None,"deploy, monitoring, deployment"
830,6,"server, security, performance, configuration management, new relic, docker, infrastructure, elk, powershell, monitor, kubernetes, aws, continuous, devops, bash, deployment, access, logging, azure, new, git, automation, bitbucket, grafana, ansible, service, jenkins, build, cloud, release, monitoring, continuous integration, prometheus, release management","time, decision making, proactive, customer, responsibility, troubleshooting, technical, continuous, learning, continuous learning, documentation, communication",,None,None,"automation, monitor, orchestration, deploy, monitoring, deployment, integration, docker, infrastructure"
832,6,"server, shell, security, performance, build automation, github, docker, infrastructure, elk, kubernetes, system, continuous, devops, azure, deployment automation, new, git, automation, bitbucket, grafana, google cloud, ansible, high, service, jenkins, cloud, monitoring, prometheus, terraform","technical, continuous learning, system, project",versioning,None,Senior,"automation, monitoring, deployment, docker, infrastructure"
834,6,"python, service, gitlab, grafana, compliance, kubernetes, version control, continuous, deployment, devops, monitoring, prometheus, docker, new, git, infrastructure","learning, communication skills, continuous",versioning,None,None,"orchestration, monitoring, deployment, docker, infrastructure"
835,6,"python, load, shell, configuration management, iac, docker, infrastructure, high availability, kubernetes, aws, microservices, continuous, devops, deployment, access, azure, new, git, elk stack, automation, grafana, splunk, ansible, jenkins, cloud, build, monitoring, continuous integration, prometheus, terraform","problem, feedback, customer, flexibility, learning, continuous, communication",,None,Senior,"automation, monitoring, deployment, integration, infrastructure automation, docker"
837,6,"python, shell, security, performance, configuration, infrastructure as code, docker, infrastructure, kubernetes, system, aws, devops, logging, deployment, access, azure, new, git, automation, grafana, ansible, high, service, jenkins, cloud, monitoring, pipeline, prometheus, terraform","technical, troubleshooting, system, documentation",,None,Senior,"gitops, automation, orchestration, deploy, monitoring, pipeline, deployment, infrastructure automation, docker, infrastructure"
838,6,"jenkins, automation, system, kubernetes, security, pipeline, devops, deployment, iac, docker, new, infrastructure","system, proactive, initiative, problem solving, troubleshooting",,None,None,"automation, pipeline, deployment, integration, docker, infrastructure"
839,6,"python, load, security, docker, infrastructure, cloud infrastructure, kubernetes, aws, continuous, devops, deployment, bash, logging, access, azure, new, elk stack, grafana, jenkins, gitlab, cloud, network, monitoring, continuous integration, prometheus","technical, continuous, attention, communication",devops culture,None,Mid-Level,"orchestration, monitoring, deployment, integration, docker, infrastructure"
841,6,"python, load, server, security, performance, github, docker, infrastructure, elk, high availability, monitor, kubernetes, system, microservices, deployment, bash, logging, devops, access, new, git, automation, bitbucket, grafana, compliance, service, jenkins, network, monitoring, containers, pipeline, incident, prometheus, scalability","reliability, system, technical, troubleshooting, incident, documentation",,None,None,"setup, automation, monitor, orchestration, pipeline, deployment, monitoring, docker, infrastructure"
843,6,"python, load, load balancing, fault tolerance, security, shell scripting, performance, configuration, infrastructure as code, github, load testing, docker, infrastructure, high availability, cloud infrastructure, kubernetes, system, firewall, site reliability, aws, microservices, continuous, devops, logging, deployment, azure, git, automation, grafana, high, service, jenkins, gitlab, performance tuning, build, cloud, version control, ssl, pipeline, containers, monitoring, incident, prometheus, terraform, scalability","communication skills, reliability, project, resilience, teamwork, analytical thinking, adaptability, system, technical, troubleshooting, flexibility, continuous, incident, attention to detail, documentation, communication","root cause analysis, resilience",None,Senior,"automation, orchestration, deploy, pipeline, monitoring, deployment, integration, docker, infrastructure"
844,6,"python, service, automation, version control, system, performance, microservices, deployment, docker, git, infrastructure",system,deployment strategies,None,Senior,"automation, deploy, deployment, docker, infrastructure"
845,6,"performance, docker, infrastructure, system, kubernetes, aws, microservices, continuous, devops, deployment, azure, new, git, automation, grafana, google cloud, jenkins, gitlab, cloud, release, monitoring, pipeline, prometheus, scalability","reliability, project, teamwork, initiative, system, critical, technical, continuous learning",,None,None,"automation, pipeline, monitoring, deployment, integration, docker, infrastructure"
846,6,"site, high, system, performance","communication skills, project, teamwork, time, critical thinking, adaptability, system, customer, responsibility, technical, time management, documentation, analytical",,Master,Expert,integration
847,6,"high, elk stack, high availability, log, monitor, kubernetes, security, performance, pipeline, access, scalability, docker, new, infrastructure","collaborative mindset, communication skills, learning, analytical",,None,None,"monitor, orchestration, pipeline, integration, docker, infrastructure"
849,6,"cloud, build, kubernetes, build automation, access, docker, new, git",learning,,Bachelor,None,"docker, integration, automation"
850,6,"high, service, new, performance","resilience, attention, customer, technical, attention to detail, learning, documentation, communication",resilience,None,Senior,"setup, integration"
851,6,"python, security, performance, configuration, docker, infrastructure, monitor, system, kubernetes, aws, deployment, devops, bash, azure, automation, grafana, google cloud, ansible, service, gitlab, cloud, monitoring, prometheus, terraform","teamwork, system, troubleshooting, learning, communication",,None,Senior,"automation, monitor, monitoring, deployment, docker, infrastructure"
852,6,"python, security, infrastructure as code, iac, docker, infrastructure, kubernetes, site reliability, aws, microservices, devops, logging, bash, azure, elk stack, automation, grafana, ansible, cloud, build, observability, monitoring, prometheus, terraform, scalability",reliability,,None,Senior,"infrastructure, monitoring, docker, automation"
853,6,"python, pipeline, google cloud, automation","flexibility, learning, collaborative",,None,None,"pipeline, automation"
854,6,"automation, cloud, network, build, performance, observability, monitoring, deployment, continuous, scalability, docker, new","communication skills, collaborative, responsibility, flexibility, technical, continuous learning, documentation, analytical, communication",versioning,None,None,"monitoring, docker, deployment, automation"
859,6,"jenkins, gitlab, load balancing, cloud, kubernetes, ssl, monitoring, devops, access, new","communication skills, collaborative, responsibility, troubleshooting, technical, learning",,Master,None,monitoring
861,6,"python, security, performance, infrastructure as code, iac, github, infrastructure, high availability, powershell, cloud infrastructure, monitor, system, devops, deployment, bash, azure, cloud, network, monitoring, yaml, terraform, scalability","system, reliability",,None,Senior,"monitor, orchestration, monitoring, deployment, infrastructure"
862,6,"python, shell scripting, configuration, infrastructure, elk, powershell, system, aws, microservices, continuous, devops, bash, logging, azure, new, automation, grafana, ansible, jenkins, gitlab, cloud, network, build, monitoring, prometheus, release management, terraform","project, time, collaborative, feedback, system, technical, flexibility, continuous, continuous learning, communication",,None,Senior,"infrastructure, deploy, monitoring, automation"
863,6,"python, security, performance, configuration management, docker, infrastructure, powershell, monitor, system, kubernetes, devops, deployment, bash, azure, new, git, automation, compliance, cloud, version control","reliability, project, proactive, system, documentation, communication",infrastructure provisioning,None,None,"automation, monitor, orchestration, deployment, docker, infrastructure"
867,6,"high, service, automation, build, kubernetes, version control, devops, docker","technical, task, initiative, teamwork",,None,Senior,"docker, automation"
871,6,"python, service, cloud infrastructure, automation, shell, cloud, compliance, system, security, performance, release, monitoring, deployment, devops, continuous, terraform, new","reliability, proactive, system, technical, troubleshooting, continuous, documentation, analytical, communication",,None,Senior,"automation, monitoring, deployment, infrastructure"
872,6,"python, server, version, security, performance, configuration management, iac, infrastructure, powershell, system, deployment, bash, devops, automation, compliance, ansible, gitlab, cloud, network, pipeline, monitoring, terraform, scalability","collaborative, critical, system",,None,Senior,"automation, orchestration, pipeline, deployment, monitoring, infrastructure automation, infrastructure"
873,6,"python, high, system, security, performance, containers, new","learning, system",,None,None,
875,6,"build, infrastructure",technical,,None,None,infrastructure
876,6,"high, service, security, new, infrastructure","communication skills, project, analytical thinking, problem solving, customer",,Master,Mid-Level,infrastructure
878,6,"automation, monitor, new, cloud, kubernetes, system, security, performance, infrastructure as code, iac, scalability, infrastructure","communication skills, teamwork, analytical thinking, system, initiative",,None,None,"automation, monitor, infrastructure"
879,6,"python, incident response, high, service, powershell, automation, monitor, cloud, kubernetes, network, system, performance, continuous, continuous integration, new, infrastructure","incident response, communication skills, problem, time, analytical thinking, system, problem solving, technical, flexibility, responsibility, learning, continuous, troubleshooting, documentation",,None,Senior,"automation, monitor, integration, infrastructure"
880,6,"python, service, powershell, shell, network, system, continuous, devops, deployment, yaml, pipeline, release management, azure, docker, new, git","communication skills, time, system, continuous, learning, communication",,None,None,"gitops, deploy, pipeline, deployment, integration, docker"
881,6,"high, service, performance tuning, automation, system, network, shell scripting, security, performance, monitoring, deployment, incident, new, infrastructure","time, system, critical, coordination, customer, technical, troubleshooting, incident, analytical",root cause analysis,None,Senior,"automation, monitoring, deployment, integration, infrastructure"
882,6,"python, load, security, performance, new relic, infrastructure as code, iac, infrastructure, cloud infrastructure, iam, kubernetes, aws, microservices, continuous, deployment, new, automation, grafana, compliance, service, cloud, network, observability, monitoring, scalability","continuous, reliability, teamwork, communication",,None,None,"automation, monitoring, deployment, infrastructure automation, infrastructure"
886,6,"python, service, cloud, kubernetes, version control, version, performance, aws, monitoring, logging, azure, docker, google cloud, infrastructure","technical, learning, customer",,Bachelor,Mid-Level,"deploy, docker, monitoring, infrastructure"
887,6,"high, site, load balancing, automation, cloud, kubernetes, security, performance, microservices, monitoring, bash, devops, deployment, infrastructure as code, iac, docker, new, git","learning, analytical thinking, time",,None,None,"automation, monitoring, deployment, integration, docker, infrastructure"
888,6,"python, load balancing, shell, security, performance, configuration management, infrastructure as code, docker, infrastructure, elk, powershell, monitor, system, kubernetes, site reliability, deployment, devops, bash, automation, grafana, compliance, ansible, service, cloud, monitoring, prometheus, terraform, scalability","reliability, time, proactive, system, technical, troubleshooting",,None,Mid-Level,"automation, monitor, gitops, monitoring, deployment, docker, infrastructure"
889,6,"python, server","teamwork, technical, attention to detail, learning, communication",,None,None,integration
890,6,"python, security, iac, infrastructure, kubernetes, aws, devops, deployment, bash, azure, new, automation, ansible, service, jenkins, gitlab, build, network, cloud, monitoring, terraform","problem, project, time, teamwork, problem solving, troubleshooting",,None,None,"automation, deploy, monitoring, deployment, integration, infrastructure automation"
891,6,"python, automation, build, pipeline, deployment, access, infrastructure","documentation, analytical",,None,None,"automation, pipeline, deployment, integration, infrastructure"
892,6,"python, build, kubernetes, security, docker","learning, project, time",,PhD,Junior,"orchestration, docker"
893,6,"python, server, security, configuration management, cloud automation, docker, powershell, kubernetes, devops, bash, deployment, access, azure, new, git, automation, high, service, jenkins, gitlab, cloud, build","collaborative mindset, responsibility, technical, learning, analytical",devops culture,None,None,"gitops, docker, deployment, automation"
894,6,"high, system","project, teamwork, analytical thinking, system, coordination, problem solving, technical, time management, learning, stress",error,Bachelor,Senior,integration
896,6,"python, high, server, cloud, system, security, performance, new","reliability, resilience, time, system, customer, technical, learning, communication",resilience,None,None,
897,6,"git, infrastructure",,,None,Mid-Level,infrastructure
898,6,"service, monitor, build, continuous, access","communication skills, project, collaborative, proactive, customer, technical, troubleshooting, continuous, documentation, communication",,None,None,"integration, monitor"
899,6,"high, build, cloud, kubernetes, performance, aws, scalability, git","critical, time",,None,None,integration
900,6,"python, shell, security, performance, docker, monitor, cloud infrastructure, system, kubernetes, continuous, devops, deployment, access, azure, grafana, google cloud, build, cloud, monitoring, prometheus","reliability, system, critical, technical, flexibility, continuous, learning",,None,None,"monitor, monitoring, deployment, docker, infrastructure"
901,6,"python, performance tuning, build, network, kubernetes, monitoring, devops, scalability","decision making, critical, analytical, workflow",,None,Senior,"deploy, monitoring"
902,6,"high availability, server, automation, monitor, build, system, compliance, security, cloud, performance, aws, configuration, monitoring, devops, ansible, azure, infrastructure","teamwork, proactive, system, troubleshooting, communication",,None,None,"monitor, automation, deploy, monitoring, integration, infrastructure"
903,6,"python, continuous deployment, security, performance, configuration management, configuration, infrastructure, high availability, cloud infrastructure, monitor, kubernetes, system, deployment, bash, logging, new, elk stack, automation, grafana, compliance, ansible, service, network, monitoring, prometheus, terraform","time, system, technical, flexibility, responsibility, learning, troubleshooting, continuous","root cause analysis, infrastructure provisioning",None,Senior,"automation, gitops, monitor, monitoring, deployment, infrastructure"
904,6,"high, service, performance tuning, automation, system, network, shell scripting, security, performance, monitoring, deployment, incident, new, infrastructure","time, system, critical, coordination, customer, technical, troubleshooting, incident, analytical",root cause analysis,None,Senior,"automation, monitoring, deployment, integration, infrastructure"
905,6,"python, monitor, build, performance, pipeline, google cloud, new, infrastructure","technical, time, documentation, communication",,None,None,"pipeline, monitor, infrastructure"
906,6,"cloud, system, network, azure, infrastructure","communication skills, project, analytical thinking, system, customer, technical, responsibility, learning",,None,None,infrastructure
907,6,"log, security, performance, infrastructure as code, iac, docker, cloud infrastructure, iam, kubernetes, aws, devops, access, azure, new, automation, compliance, service, access management, cloud, monitoring, terraform","project, teamwork, collaborative, responsibility, documentation, analytical",,None,None,"docker, automation, monitoring, infrastructure"
908,6,"high, high availability, cloud, build, network, security, performance, microservices, access, new, git","responsibility, learning, technical, problem solving",,None,None,
909,6,"high availability, powershell, iam, access management, cloud, system, kubernetes, security, monitoring, continuous, devops, access, scalability, docker, new, infrastructure","project, analytical thinking, decision making, system, customer, technical, responsibility, problem solving, learning, continuous, continuous learning, communication",,Master,Senior,"orchestration, monitoring, integration, docker, infrastructure"
910,6,"load, performance, configuration management, configuration, infrastructure as code, iac, network configuration, infrastructure, system, devops, deployment, logging, access, new, automation, splunk, ansible, gitlab, cloud, monitoring, containers, terraform","communication skills, reliability, project, teamwork, adaptability, collaborative, proactive, system, technical, troubleshooting, learning, analytical, communication","devops culture, infrastructure provisioning",None,None,"automation, deploy, monitoring, deployment, integration, infrastructure"
911,6,"python, configuration, infrastructure as code, docker, infrastructure, site reliability, devops, bash, logging, access, new, git, automation, grafana, ansible, teamcity, build, monitoring, containers, terraform, scalability","flexibility, reliability",,None,None,"automation, deploy, monitoring, docker, infrastructure"
912,6,"incident response, python, performance tuning, automation, system, kubernetes, security, performance, observability, monitoring, pipeline, devops, terraform, deployment automation, scalability, infrastructure","incident response, postmortem, reliability, system, technical, communication",,None,None,"automation, pipeline, monitoring, deployment, infrastructure"
913,6,"python, configuration management, iac, docker, powershell, kubernetes, aws, continuous, devops, bash, logging, access, azure, git, elk stack, automation, grafana, ansible, service, jenkins, gitlab, cloud, version control, monitoring, prometheus, terraform","collaborative, customer, troubleshooting, continuous, learning, communication",,None,Senior,"orchestration, monitoring, docker, automation"
914,6,"high, elk, new, security, performance, deployment, scalability","feedback, project, analytical",,None,Senior,deployment
915,6,"python, jenkins, automation, build, system, performance, release, access, new, git, infrastructure","technical, system, reliability, customer",,None,Senior,"infrastructure, automation"
916,6,"python, service, powershell, server, monitor, automation, nagios, cloud, system, shell, security, performance, configuration, monitoring, continuous, access","problem, time, proactive, system, customer, responsibility, technical, troubleshooting, continuous",,None,None,"automation, monitoring, monitor"
917,6,"python, incident response, security, performance, github, docker, infrastructure, cloud infrastructure, monitor, system, kubernetes, firewall, devops, bash, azure, automation, compliance, cloud, datadog, observability, monitoring, incident, terraform","incident response, time, system, technical, incident",,None,Senior,"automation, monitor, monitoring, docker, infrastructure"
918,6,"jenkins, teamcity, cloud, network, kubernetes, system, aws, configuration management, devops, github, azure, docker, new","proactive, system",,None,Senior,"orchestration, docker"
919,6,"python, jenkins, powershell, shell, bitbucket, configuration management, configuration, monitoring, bash, docker, git","project, teamwork, technical, learning, documentation, communication",,None,Senior,"docker, monitoring"
920,6,"python, build, version control, performance, new, git","project, teamwork, collaborative, learning, analytical, communication",,None,None,
921,6,"python, build, pipeline, deployment, infrastructure","documentation, analytical",,None,Senior,"pipeline, deployment, integration, infrastructure"
922,6,"shell, continuous","problem, communication skills, project, time, technical, task, attention to detail, continuous learning, analytical",,None,None,
924,6,"python, incident response, automation, shell, access management, compliance, cloud, kubernetes, security, iam, monitor, aws, configuration, continuous, containers, devops, azure, terraform","incident response, communication skills, critical, technical, continuous, analytical",,None,None,"monitor, automation"
926,6,"python, high, automation, compliance, cloud, system, security, performance, release, bash, new, git","accountability, reliability, time, critical, system, technical, responsibility, flexibility, learning, stress, communication",,Bachelor,None,automation
927,6,"python, security, performance, configuration management, infrastructure as code, iac, docker, infrastructure, powershell, system, kubernetes, continuous, devops, deployment, bash, new, automation, compliance, ansible, performance tuning, gitlab, pipeline, monitoring","communication skills, reliability, collaborative, system, technical, troubleshooting, continuous learning, documentation, communication","root cause analysis, infrastructure provisioning",None,Senior,"automation, orchestration, pipeline, monitoring, deployment, integration, docker, infrastructure"
928,6,"service, server, monitor, automation, build, cloud, firewall, security, network, system, aws, performance, devops, access, scalability, azure, new, infrastructure","communication skills, reliability, initiative, system, proactive, troubleshooting, analytical",,None,Senior,"automation, monitor, infrastructure"
929,6,"security, performance, configuration management, infrastructure as code, iac, docker, infrastructure, high availability, monitor, system, kubernetes, deployment, devops, logging, access, new, git, elk stack, automation, grafana, circleci, site, jenkins, gitlab, build, cloud, version control, release, monitoring, prometheus, terraform","communication skills, reliability, project, proactive attitude, system, critical, technical, task, learning",root cause analysis,None,Expert,"automation, monitor, orchestration, monitoring, deployment, integration, docker, infrastructure"
930,6,"python, service, build, system, continuous, incident, new, infrastructure","teamwork, system, coordination, customer, responsibility, technical, continuous, incident, communication",,None,Senior,infrastructure
931,6,"jenkins, cloud, system, security, new, git, infrastructure","project, system, technical, responsibility, learning, communication",,Master,None,"integration, infrastructure"
932,6,"system, virtual, performance, access, new, git","technical, system, learning",error,PhD,Senior,
933,6,"python, service, server, cloud infrastructure, automation, cloud, network, system, security, performance, aws, microservices, monitoring, continuous, bash, access, azure, new","reliability, project, collaborative, critical, system, customer, technical, continuous, learning, communication",,None,Senior,"automation, deploy, monitoring, integration, infrastructure"
934,6,"high, powershell, cloud, system, virtual, access, azure, new, infrastructure","project, system, proactive, responsibility, technical, learning",,None,Senior,"integration, infrastructure"
935,6,"python, high availability, performance tuning, automation, monitor, cloud, version control, performance, aws, observability, pipeline, monitoring, logging, access, git",reliability,,None,None,"monitoring, pipeline, monitor, automation"
936,6,"jenkins, cloud, kubernetes, aws, bash, devops, continuous integration, ansible, docker, git, infrastructure",continuous,,None,Senior,"docker, integration, infrastructure"
937,6,"security, configuration management, infrastructure as code, iac, docker, infrastructure, system reliability, cloud infrastructure, system, kubernetes, aws, continuous, devops, logging, deployment, access, azure, elk stack, automation, grafana, compliance, google cloud, ansible, service, jenkins, gitlab, cloud, build, monitoring, continuous integration, prometheus, terraform","reliability, system, customer, technical, continuous, attention to detail, continuous learning, analytical",,None,Mid-Level,"automation, orchestration, monitoring, deployment, integration, docker, infrastructure"
938,6,"python, security, performance, infrastructure as code, iac, github, docker, infrastructure, high availability, system reliability, cloud infrastructure, monitor, system, kubernetes, aws, deployment, devops, bash, azure, automation, ansible, jenkins, gitlab, cloud, monitoring, continuous integration, terraform, scalability","continuous, system, reliability",,None,None,"monitor, automation, orchestration, monitoring, deployment, integration, docker, infrastructure"
939,6,"python, high, high availability, service, jenkins, server, cloud, system, security, performance, monitoring, devops, continuous, bash, google cloud, new, git, ansible","communication skills, time, collaborative, feedback, system, technical, continuous, learning, stress, documentation",,Bachelor,None,monitoring
940,6,"python, cloud, kubernetes, security, docker, new, infrastructure","communication skills, learning, analytical, attention to detail",,PhD,None,"docker, infrastructure"
941,6,"high availability, server, cloud, system, kubernetes, aws, splunk, devops, azure, docker, new, infrastructure","teamwork, system, learning, analytical, communication",,None,None,"docker, infrastructure"
942,6,"python, build, shell scripting, new, infrastructure","communication skills, analytical thinking, critical, problem solving, technical, time management, responsibility, learning, communication",,Bachelor,Senior,infrastructure
943,6,"python, cloud infrastructure, cloud, kubernetes, devops, new, infrastructure",reliability,,None,None,infrastructure
944,7,"threat detection, risk, cyber, cyber attack, security, cybersecurity, log analysis, information security, cyber threats, siem, threat, soc, threat intelligence","communication skills, risk assessment, analytical thinking, critical, security, research, threat, team, report",defense,None,None,siem
945,7,"risk, security, security awareness, endpoint, penetration, siem, cyber threats, information, threat, security audits, compliance, iso 27001, nist, gdpr, cyber, security policies, network, incident, it, vulnerability, threat intelligence","risk, compliance, critical, security, problem solving, technical, incident, threat, communication",,Bachelor,Mid-Level,"firewall, penetration, siem, incident, vulnerability, implementation"
946,7,"log, security, vpn, endpoint, siem, information, encryption, risk management, access, iso 27001, web, antivirus, gdpr, dlp, network security, information security, application security, it, data","strategic, risk, time, decision making, security, problem solving, technical, learning",,None,Senior,"siem, planning, encryption, policy"
947,7,"risk, iam, iso 27001, mfa, compliance, nist, iso, identity, it, access, gdpr","compliance, risk",identity and access management,None,None,
948,7,"burp suite, metasploit, cyber, network, security, application, web, owasp, nessus","technical, security, team",,None,Senior,test
949,7,"secure, risk, iso 27001, security, cybersecurity, application, web, information security, iso, application security, nist, incident, information, access, data, owasp, threat, vulnerability","risk, analytical thinking, security, technical, incident, team, threat, documentation, communication",threat modeling,None,None,"implementation, incident, vulnerability, integration"
950,7,"dlp, risk, cyber, security standards, compliance, iso 27001, security, information security, cyber threats, information, siem, iso, audit, risk management, gdpr","communication skills, risk, compliance, security, technical, team, security awareness training","forensic, security awareness training",None,None,"siem, planning"
951,7,"risk, security, audit, data loss prevention, siem, information, encryption, threat, risk management, access, it security, iso 27001, zero, nist, identity, gdpr, dlp, cyber, network, application, information security, iso, it, data, threat intelligence","risk, security, threat, team, analytical",identity and access management,None,Senior,"implementation, siem, test, encryption"
952,7,"network security, network, security, vpn, siem, information security, information, antivirus, endpoint","communication skills, security",,None,Senior,"implementation, siem, firewall, policy"
953,7,"penetration testing, secure, compliance, security, cybersecurity, secure coding, information, owasp, identity, threat, vulnerability assessment, audit, vulnerability","communication skills, compliance, security, research, technical, threat, team, documentation, analytical",,None,None,"vulnerability, penetration testing"
954,7,"cyber, network, security, web, application, information, incident, it, vulnerability, threat intelligence, gdpr","security, problem solving, technical, task, learning, incident, team, threat, analytical, communication",defense,None,Mid-Level,"planning, firewall, test, incident, integration, vulnerability"
955,7,"data, information, web","responsibility, task, team, communication",,Bachelor,Senior,
956,7,"dlp, secure, risk, cyber, compliance, ips, security, application, data privacy, information security, siem, information, antivirus, data","risk, compliance, security, learning, documentation, communication",,None,Senior,"test, siem, integration"
957,7,"network security, network, ips, vpn, application, ssl, information, it, data","security, problem solving, technical, team, communication",,None,Senior,integration
958,7,"security breaches, blue, risk, security policies, network, security, information security, information, it, risk management, data, access, audit, gdpr","risk, risk assessment, critical, security, team, report",,None,None,"implementation, policy"
959,7,"dlp, risk, iso 27001, network, security, information security, siem, information, access control, antivirus, soc, endpoint","risk, security, technical, task, security awareness training, documentation",security awareness training,None,None,"implementation, siem, planning, firewall"
960,7,"security standards, network, security, cybersecurity, information security, siem, application security, information, it, risk management, data, vulnerability","risk, security, team, analytical thinking",,None,None,"vulnerability, siem, firewall"
961,7,"cyber, compliance, security, cybersecurity, security awareness, zero, information, it","time, compliance, security, learning, team, communication",,Master,None,policy
962,7,"security standards, security policies, compliance, security, information security, vulnerability","communication skills, compliance, security, technical, team, documentation, analytical",,None,None,"vulnerability, test, policy, testing"
963,7,"security, security awareness, vpn, wireshark, kali linux, security standards, penetration, cyber threats, nessus, metasploit, penetration testing, burp suite, compliance, iso 27001, cybersecurity, web, social engineering, nist, owasp, gdpr, network security, network, nmap","compliance, security, technical, team, security awareness training, report",security awareness training,None,None,"scanning, penetration testing, penetration"
964,7,"ethical, cyber, network, security, log analysis, application, information security, siem, information, incident, it, soc, threat, access, threat intelligence","communication skills, ethical, security, responsibility, incident, threat, report, documentation",password,None,Senior,"siem, planning, incident, integration"
965,7,"network security, data, risk, security policies, security, information security, data protection, information, it, risk management, audit, access","risk, risk assessment, critical, security, communication",,None,Senior,"implementation, test, firewall"
966,7,"secure, cyber, security, cybersecurity, application, cyber threats, social, information security, identity, threat, data, threat intelligence, intrusion","security, research, technical, learning, threat, team, report",,None,Senior,
967,7,"dlp, log, risk management, security, siem, information, it, access, vulnerability, it security, endpoint","risk, presentation skills, security, technical, team, communication",,Bachelor,None,"policy, testing, siem, vulnerability, vulnerability scanning"
968,7,"iam, compliance, security, application, identity, it, access","problem, compliance, security, responsibility, team, integrity, analytical, communication",identity and access management,Master,None,"planning, integration"
969,7,"burp suite, metasploit, cyber, network, security, web, application, owasp, nessus","technical, security, team",,None,Senior,test
970,7,"red team, burp suite, penetration testing, cyber, network, security, web, nist, owasp, it, threat, metasploit, threat intelligence, nmap","communication skills, critical, security, learning, team, threat, integrity",,None,Senior,"simulation, penetration testing"
971,7,"penetration testing, network, security, application, web, information security, access control, identity, information, it, access","time, security, learning, team, workflow",,Bachelor,Intern,penetration testing
972,7,"risk, cyber, iso 27001, compliance, security, information security, information, it, risk management, gdpr","risk, analytical thinking, time, decision making, compliance, security, problem solving, responsibility, task",,Bachelor,Senior,"implementation, simulation"
974,7,"security, vpn, data protection, audit, siem, information, ids, threat, it security, compliance, iso 27001, soc, dlp, network security, cyber, network, ips, information security, it, data","investigation, compliance, security, research, technical, threat, report, documentation, analytical, communication",defense,None,Senior,"planning, firewall, test, siem, integration, response"
975,7,"incident response, penetration testing, secure, security standards, security policies, compliance, network, security, cybersecurity, application, web, access control, social, application security, it, data, vulnerability","compliance, initiative, security, technical, incident, team, documentation, analytical, communication",,Bachelor,None,"penetration testing, testing, incident, integration, vulnerability, vulnerability scanning, response"
976,7,"information security, cyber, qradar, siem, security, splunk, threat intelligence, information, incident, arcsight, threat, access, vulnerability, audit, endpoint","problem, security, responsibility, incident, threat, team",,None,Senior,"vulnerability, siem, incident, response"
977,7,"red team, risk, cyber, qradar, network, security, web, application, information security, owasp, information, application security, siem, soc","report, security, team, risk assessment",,None,Mid-Level,siem
